iter	Passed	Remaining
0	150	150223
1	152	75918
2	153	50954
3	153	38304
4	154	30721
5	154	25671
6	155	22060
7	155	19343
8	156	17231
9	157	15544
10	158	14208
11	158	13061
12	159	12088
13	159	11252
14	160	10525
15	160	9888
16	161	9326
17	161	8828
18	162	8382
19	162	7978
20	163	7612
21	163	7282
22	164	6993
23	165	6724
24	165	6469
25	166	6231
26	166	6011
27	167	5810
28	167	5622
29	168	5446
30	169	5284
31	170	5144
32	171	5022
33	172	4889
34	172	4761
35	173	4640
36	173	4524
37	174	4418
38	175	4312
39	175	4212
40	176	4116
41	177	4039
42	177	3956
43	178	3875
44	178	3796
45	179	3722
46	179	3648
47	180	3578
48	180	3512
49	181	3449
50	182	3387
51	182	3328
52	183	3270
53	183	3216
54	184	3166
55	185	3119
56	185	3071
57	186	3024
58	186	2979
59	187	2935
60	187	2893
61	188	2851
62	188	2810
63	189	2776
64	190	2745
65	191	2713
66	192	2677
67	192	2643
68	193	2610
69	193	2577
70	194	2545
71	195	2515
72	195	2484
73	196	2453
74	196	2424
75	197	2400
76	199	2391
77	200	2365
78	200	2338
79	201	2312
80	201	2289
81	202	2265
82	202	2239
83	203	2216
84	203	2193
85	204	2174
86	206	2163
87	206	2144
88	207	2125
89	208	2106
90	209	2088
91	209	2068
92	210	2048
93	210	2029
94	211	2013
95	212	2002
96	213	1985
97	213	1967
98	214	1949
99	214	1932
100	215	1917
101	215	1901
102	216	1884
103	216	1868
104	217	1852
105	217	1837
106	218	1822
107	219	1811
108	221	1809
109	222	1798
110	222	1785
111	223	1772
112	223	1758
113	224	1744
114	224	1731
115	225	1717
116	226	1705
117	227	1700
118	228	1691
119	229	1680
120	229	1669
121	230	1657
122	230	1646
123	231	1635
124	231	1623
125	232	1611
126	232	1600
127	233	1590
128	234	1583
129	235	1574
130	235	1564
131	236	1553
132	236	1544
133	237	1535
134	238	1525
135	238	1515
136	239	1506
137	239	1497
138	240	1488
139	240	1479
140	241	1473
141	242	1465
142	243	1457
143	243	1448
144	244	1440
145	244	1431
146	245	1423
147	246	1416
148	246	1408
149	247	1400
150	247	1392
151	248	1384
152	249	1379
153	250	1374
154	250	1368
155	251	1361
156	252	1353
157	252	1346
158	253	1339
159	253	1332
160	254	1324
161	254	1317
162	255	1310
163	255	1303
164	258	1307
165	259	1301
166	259	1295
167	260	1288
168	260	1281
169	261	1275
170	261	1268
171	262	1262
172	262	1256
173	263	1249
174	263	1244
175	264	1239
176	266	1237
177	266	1232
178	267	1226
179	267	1220
180	268	1214
181	269	1209
182	269	1204
183	270	1198
184	270	1192
185	271	1189
186	272	1185
187	273	1180
188	273	1175
189	274	1169
190	275	1164
191	275	1159
192	276	1154
193	276	1149
194	277	1143
195	277	1138
196	278	1133
197	278	1129
198	281	1133
199	282	1128
200	282	1123
201	283	1118
202	283	1113
203	284	1108
204	284	1103
205	285	1099
206	285	1094
207	286	1092
208	287	1089
209	288	1085
210	289	1081
211	289	1076
212	290	1072
213	290	1068
214	291	1063
215	291	1058
216	292	1054
217	292	1050
218	293	1046
219	294	1042
220	294	1038
221	295	1034
222	295	1030
223	296	1025
224	296	1021
225	297	1017
226	297	1013
227	298	1009
228	298	1005
229	299	1001
230	299	997
231	300	993
232	300	989
233	301	987
234	303	987
235	303	983
236	304	979
237	304	975
238	305	972
239	305	968
240	306	964
241	306	960
242	307	956
243	307	953
244	308	949
245	309	948
246	310	945
247	310	941
248	311	938
249	311	935
250	312	932
251	312	928
252	313	925
253	313	921
254	314	918
255	314	914
256	315	911
257	316	909
258	316	906
259	317	903
260	317	900
261	318	896
262	318	893
263	319	890
264	319	887
265	320	884
266	320	880
267	321	877
268	321	874
269	322	872
270	323	870
271	324	868
272	325	866
273	325	863
274	326	860
275	327	857
276	327	854
277	328	852
278	328	849
279	329	846
280	329	843
281	330	842
282	331	839
283	331	836
284	332	833
285	332	830
286	333	828
287	333	825
288	334	823
289	335	820
290	335	817
